Method   ; URI                                                  ; Name                             ; Action                                                                      ; Middleware                                           ;
GET|HEAD ; api/elogio/list/{rg}                                 ; elogio.list                      ; App\Http\Controllers\Policiais\ElogioController@list                        ; api                                                  ;
POST     ; api/elogio/store                                     ; elogio.store                     ; App\Http\Controllers\Policiais\ElogioController@store                       ; api                                                  ;
PUT      ; api/elogio/update/{id}                               ; elogio.update                    ; App\Http\Controllers\Policiais\ElogioController@update                      ; api                                                  ;
GET|HEAD ; api/estatuspm/operacaoverao                          ; estatuspm.operacaoVerao          ; App\Http\Controllers\Policiais\EstatusController@operacaoVerao              ; api                                                  ;
GET|HEAD ; api/estatuspm/{rg}                                   ; estatuspm.total                  ; App\Http\Controllers\Policiais\EstatusController@total                      ; api                                                  ;
GET|HEAD ; api/fdi/afastamentos/{rg}                            ; fdi.afastamentos                 ; App\Http\Controllers\FDI\FDIListController@afastamentos                     ; api                                                  ;
GET|HEAD ; api/fdi/apresentacoes/{rg}                           ; fdi.apresentacoes                ; App\Http\Controllers\FDI\FDIListController@apresentacoes                    ; api                                                  ;
GET|HEAD ; api/fdi/cautelas/{rg}                                ; fdi.cautelas                     ; App\Http\Controllers\FDI\FDIListController@cautelas                         ; api                                                  ;
GET|HEAD ; api/fdi/dadosAdicionais/{rg}                         ; fdi.dadosAdicionais              ; App\Http\Controllers\FDI\FDIListController@dadosAdicionais                  ; api                                                  ;
GET|HEAD ; api/fdi/dadosGerais/{rg}                             ; fdi.dadosGerais                  ; App\Http\Controllers\FDI\FDIListController@dadosGerais                      ; api                                                  ;
GET|HEAD ; api/fdi/dependentes/{rg}                             ; fdi.dependentes                  ; App\Http\Controllers\FDI\FDIListController@dependentes                      ; api                                                  ;
GET|HEAD ; api/fdi/excluido/{rg}                                ; fdi.excluido                     ; App\Http\Controllers\FDI\FDIListController@excluido                         ; api                                                  ;
GET|HEAD ; api/fdi/log/{rg}                                     ; fdi.log                          ; App\Http\Controllers\FDI\FDIListController@log                              ; api                                                  ;
GET|HEAD ; api/fdi/membros/{rg}                                 ; fdi.membros                      ; App\Http\Controllers\FDI\FDIListController@membros                          ; api                                                  ;
GET|HEAD ; api/fdi/objetos/{rg}                                 ; fdi.objetos                      ; App\Http\Controllers\FDI\FDIListController@objetos                          ; api                                                  ;
GET|HEAD ; api/fdi/procOutros/{rg}                              ; fdi.procOutros                   ; App\Http\Controllers\FDI\FDIListController@procOutros                       ; api                                                  ;
GET|HEAD ; api/fdi/punicoes/{rg}                                ; fdi.punicoes                     ; App\Http\Controllers\FDI\FDIListController@punicoes                         ; api                                                  ;
GET|HEAD ; api/fdi/sai/{rg}                                     ; fdi.sai                          ; App\Http\Controllers\FDI\FDIListController@sai                              ; api                                                  ;
GET|HEAD ; api/fdi/subJudice/{rg}                               ; fdi.subJudice                    ; App\Http\Controllers\FDI\FDIListController@subJudice                        ; api                                                  ;
GET|HEAD ; api/fdi/suspenso/{rg}                                ; fdi.suspenso                     ; App\Http\Controllers\FDI\FDIListController@suspenso                         ; api                                                  ;
DELETE   ; api/fileupload/delete/{id}                           ; fileupload.delete                ; App\Http\Controllers\FileUpload\FileUploadController@delete                 ; api                                                  ;
DELETE   ; api/fileupload/destroy/{id}                          ; fileupload.destroy               ; App\Http\Controllers\FileUpload\FileUploadController@destroy                ; api                                                  ;
GET|HEAD ; api/fileupload/download/{id}                         ; fileupload.download              ; App\Http\Controllers\FileUpload\FileUploadController@download               ; api                                                  ;
GET|HEAD ; api/fileupload/list/{proc}/{id}/{arquivo}            ; fileupload.index                 ; App\Http\Controllers\FileUpload\FileUploadController@index                  ; api                                                  ;
GET|HEAD ; api/fileupload/show/{proc}/{procid}/{arquivo}/{hash} ; fileupload.show                  ; App\Http\Controllers\FileUpload\FileUploadController@show                   ; api                                                  ;
